Date,Profile,Profile Key,Target Roles,Folder,Resume Path
"2026-06-12","React Frontend Heavy Resume","react_frontend_heavy","Frontend Developer | React Developer | Next.js Developer | Frontend Engineer | JavaScript Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\react_frontend_heavy_Resume.pdf"
"2026-06-12","Backend Node.js Heavy Resume","backend_node_heavy","Backend Developer | Node.js Developer | API Developer | Backend Engineer | NestJS Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\backend_node_heavy_Resume.pdf"
"2026-06-12","Backend + Cloud Heavy Resume","backend_cloud_heavy","Backend Engineer | Cloud Engineer | DevOps-Oriented Backend Developer | Node.js AWS Developer | Platform-Oriented Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\backend_cloud_heavy_Resume.pdf"
"2026-06-12","Full Stack React + Node + React Native Resume","full_stack_react_node_react_native","Full Stack Developer | Full Stack Engineer | MERN Stack Developer | React Node.js Developer | Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\full_stack_react_node_react_native_Resume.pdf"
"2026-06-12","React Native Heavy Resume","react_native_heavy","React Native Developer | Mobile App Developer | Mobile Engineer | Cross-Platform App Developer | Frontend Mobile Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\react_native_heavy_Resume.pdf"
"2026-06-12","Frontend React + React Native + .NET Resume","frontend_react_react_native_dotnet","Frontend Developer | React Developer | React Native Developer | Software Engineer | Frontend Engineer with .NET Exposure","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\frontend_react_react_native_dotnet_Resume.pdf"
"2026-06-12","React Native + .NET Taxi Systems Resume","react_native_dotnet_taxi_systems","React Native Developer | Mobile Software Engineer | Transport Technology Developer | Ride Booking Systems Developer | Software Engineer - Taxi / Dispatch Systems","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v2\react_native_dotnet_taxi_systems_Resume.pdf"
"2026-06-12","React Frontend Developer Resume","react_frontend_heavy","Frontend Developer | React Developer | Next.js Developer | Frontend Engineer | JavaScript Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\react_frontend_heavy_Resume.pdf"
"2026-06-12","Backend Node.js Developer Resume","backend_node_heavy","Backend Developer | Node.js Developer | API Developer | Backend Engineer | NestJS Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\backend_node_heavy_Resume.pdf"
"2026-06-12","Backend + Cloud Developer Resume","backend_cloud_heavy","Backend Engineer | Cloud-Oriented Backend Developer | Node.js AWS Developer | DevOps-Oriented Backend Developer | Platform-Oriented Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\backend_cloud_heavy_Resume.pdf"
"2026-06-12","Full Stack Software Engineer Resume","full_stack_react_node_react_native","Full Stack Developer | Full Stack Engineer | MERN Stack Developer | React Node.js Developer | Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\full_stack_react_node_react_native_Resume.pdf"
"2026-06-12","React Native Developer Resume","react_native_heavy","React Native Developer | Mobile App Developer | Mobile Engineer | Cross-Platform App Developer | Frontend Mobile Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\react_native_heavy_Resume.pdf"
"2026-06-12","React / React Native Developer with .NET Exposure Resume","frontend_react_react_native_dotnet","Frontend Developer | React Developer | React Native Developer | Software Engineer | Frontend Engineer with .NET Exposure","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\frontend_react_react_native_dotnet_Resume.pdf"
"2026-06-12","React Native + .NET Taxi Systems Resume","react_native_dotnet_taxi_systems","React Native Developer | Mobile Software Engineer | Transport Technology Developer | Ride Booking Systems Developer | Taxi Dispatch Systems Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12\react_native_dotnet_taxi_systems_Resume.pdf"
"2026-06-12","React Frontend Developer Resume","react_frontend_heavy","Frontend Developer | React Developer | Next.js Developer | Frontend Engineer | JavaScript Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\react_frontend_heavy_Resume.pdf"
"2026-06-12","Backend Node.js Developer Resume","backend_node_heavy","Backend Developer | Node.js Developer | API Developer | Backend Engineer | NestJS Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\backend_node_heavy_Resume.pdf"
"2026-06-12","Backend + Cloud Developer Resume","backend_cloud_heavy","Backend Engineer | Cloud-Oriented Backend Developer | Node.js AWS Developer | DevOps-Oriented Backend Developer | Platform-Oriented Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\backend_cloud_heavy_Resume.pdf"
"2026-06-12","Full Stack Software Engineer Resume","full_stack_react_node_react_native","Full Stack Developer | Full Stack Engineer | MERN Stack Developer | React Node.js Developer | Software Engineer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\full_stack_react_node_react_native_Resume.pdf"
"2026-06-12","React Native Developer Resume","react_native_heavy","React Native Developer | Mobile App Developer | Mobile Engineer | Cross-Platform App Developer | Frontend Mobile Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\react_native_heavy_Resume.pdf"
"2026-06-12","React / React Native Developer with .NET Exposure Resume","frontend_react_react_native_dotnet","Frontend Developer | React Developer | React Native Developer | Software Engineer | Frontend Engineer with .NET Exposure","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\frontend_react_react_native_dotnet_Resume.pdf"
"2026-06-12","React Native + .NET Taxi Systems Resume","react_native_dotnet_taxi_systems","React Native Developer | Mobile Software Engineer | Transport Technology Developer | Ride Booking Systems Developer | Taxi Dispatch Systems Developer","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3","C:\Users\hasna\Documents\Other Files\Jobs-Bot\resume-generator\Generated_Resumes\General_Resumes_2026-06-12_v3\react_native_dotnet_taxi_systems_Resume.pdf"
